Дата;Товар;Группа;Выручка;Количество
05.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;112716,72;838
05.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;49705,45;394
12.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;117459,77;936
12.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;12416,92;106
19.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;4080;32
19.07.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;1107,97;15
19.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;27338,1;230
26.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;11388,82;87
26.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3120,39;26
02.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;10186,45;80
09.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;3404,63;27
09.08.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;6332,55;50
09.08.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;20678,8;180
16.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;1502,84;12
16.08.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;126,65;1
16.08.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3957,55;32
23.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;13266,23;106
23.08.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;1519,8;12
23.08.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3832,64;32
06.09.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;6385,2;48
06.09.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;16844,45;133
06.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3862,49;32
13.09.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;19763,51;162
13.09.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;886,5;7
13.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;46378,73;394
20.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;11982,26;101
27.09.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;133944,86;1085
27.09.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;9858,65;78
27.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;15757,24;135
27.09.2004;Ламинат ELESGO Imperial 7х185х1184 клен зеленый, кв.м;Напольные покрытия;1123,2;3
27.09.2004;Ламинат NATURTEX 8.2х195х1215 5180 Вишня, шт;Напольные покрытия;1684,8;4
04.10.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;4791,02;37
04.10.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;51366,33;459
04.10.2004;Ламинат NATURTEX 8.2х195х1215 5180 Вишня, шт;Напольные покрытия;567,12;2
11.10.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;67536,18;705
11.10.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;2026,35;16
11.10.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;21334,07;193
11.10.2004;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  2820 Дуб классик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  6335 Орех, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  6927 Вишня темная, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  7128 Тик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Avanti Tango 996, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Avanti Tango 997, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Dynamite Bamboo 035 3м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Bamboo 035 4м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Cannes 048 2.5м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC San-Francisco 527 4м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC San-Francisco 535 3м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Victory Apollo 17 3 м, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Victory Apollo 17 4 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Victory Apollo 45 3 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Victory Apollo 91 3 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Viktory Apollo 77 4м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Champagne 45 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 47 3 м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 843 3 м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 843 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 845 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Vita 44 3 м, кв.м;Напольные покрытия;364,8;1
18.10.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;377932,46;3934
18.10.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;19280,1;153
18.10.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3536;32
01.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;205862,86;2151
01.11.2004;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;4884,48;12
01.11.2004;Ламинат NEW WAY 8.3х197х1218  6335 Орех, 8шт/1.92кв.м./уп, шт;Напольные покрытия;9768,96;24
01.11.2004;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;29342,46;45
01.11.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;6288;10
08.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;1177,26;10
08.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;178397,7;1862
08.11.2004;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;179,52;1
08.11.2004;Ламинат ELESGO Imperial 7х185х1184 клен зеленый, кв.м;Напольные покрытия;28,08;1
08.11.2004;Ламинат NATURTEX 8.2х195х1215 5180 Вишня, шт;Напольные покрытия;28,08;1
08.11.2004;Ламинат NEW WAY 8.3х197х1218  2820 Дуб классик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;179,52;1
08.11.2004;Ламинат NEW WAY 8.3х197х1218  6335 Орех, 8шт/1.92кв.м./уп, шт;Напольные покрытия;179,52;1
08.11.2004;Ламинат NEW WAY 8.3х197х1218  6927 Вишня темная, 8шт/1.92кв.м./уп, шт;Напольные покрытия;5064;12
08.11.2004;Ламинат NEW WAY 8.3х197х1218  7128 Тик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;179,52;1
08.11.2004;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Avanti Tango 996, кв.м;Напольные покрытия;314,4;1
08.11.2004;Линолеум IVC Avanti Tango 997, кв.м;Напольные покрытия;314,4;1
08.11.2004;Линолеум IVC Dynamite Bamboo 035 3м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Dynamite Bamboo 035 4м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Dynamite Cannes 048 2.5м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC San-Francisco 527 4м, кв.м;Напольные покрытия;179,52;1
08.11.2004;Линолеум IVC San-Francisco 535 3м, кв.м;Напольные покрытия;179,52;1
08.11.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;2621,76;6
08.11.2004;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Victory Apollo 17 3 м, кв.м;Напольные покрытия;314,4;1
08.11.2004;Линолеум IVC Victory Apollo 17 4 м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;314,4;1
08.11.2004;Линолеум IVC Victory Apollo 45 3 м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;221,28;1
08.11.2004;Линолеум IVC Victory Apollo 91 3 м, кв.м;Напольные покрытия;10842,72;24
08.11.2004;Линолеум IVC Viktory Apollo 77 4м, кв.м;Напольные покрытия;179,52;1
08.11.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Wonderwood Champagne 45 4 м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Wonderwood Jakarta 47 3 м, кв.м;Напольные покрытия;179,52;1
08.11.2004;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Wonderwood Jakarta 843 3 м, кв.м;Напольные покрытия;179,52;1
08.11.2004;Линолеум IVC Wonderwood Jakarta 843 4 м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Wonderwood Jakarta 845 4 м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;277,92;1
08.11.2004;Линолеум IVC Wonderwood Vita 44 3 м, кв.м;Напольные покрытия;277,92;1
15.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;8591,8;76
15.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;255202,08;2670
15.11.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;7705,12;70
15.11.2004;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;7326,72;18
15.11.2004;Ламинат NEW WAY 8.3х197х1218  6927 Вишня темная, 8шт/1.92кв.м./уп, шт;Напольные покрытия;4884,48;12
15.11.2004;Линолеум IVC Avanti Tango 997, кв.м;Напольные покрытия;8304;10
15.11.2004;Линолеум IVC Dynamite Bamboo 035 3м, кв.м;Напольные покрытия;13063,68;24
15.11.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;2442,24;6
15.11.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;3667,2;5
22.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;599324,41;6283
22.11.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;24480;240
22.11.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;13632;20
22.11.2004;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;41185,21;78
22.11.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;2442,24;6
22.11.2004;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;19387,13;30
22.11.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;26121,33;35
22.11.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;25012,8;45
22.11.2004;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;44544;70
22.11.2004;Линолеум IVC Wonderwood Jakarta 843 4 м, кв.м;Напольные покрытия;49775,66;75
22.11.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;31440;50
29.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;6003,19;66
29.11.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;1401292,11;15410
29.11.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;39424,5;373
29.11.2004;Ламинат NEW WAY 8.3х197х1218  2820 Дуб классик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;10990,48;24
29.11.2004;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;15288;25
29.11.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;26592;45
29.11.2004;Линолеум IVC San-Francisco 527 4м, кв.м;Напольные покрытия;2177,28;6
29.11.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;988,8;2
29.11.2004;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;27667,2;44
29.11.2004;Линолеум IVC Victory Apollo 17 4 м, кв.м;Напольные покрытия;48211,2;108
29.11.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;35139,84;49
29.11.2004;Линолеум IVC Victory Apollo 45 3 м, кв.м;Напольные покрытия;10713,6;24
29.11.2004;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;39663,36;78
29.11.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;6547,13;10
29.11.2004;Линолеум IVC Wonderwood Champagne 45 4 м, кв.м;Напольные покрытия;58094,4;95
29.11.2004;Линолеум IVC Wonderwood Jakarta 843 4 м, кв.м;Напольные покрытия;27868,8;45
29.11.2004;Линолеум IVC Wonderwood Jakarta 845 4 м, кв.м;Напольные покрытия;61152;100
29.11.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;7075,37;10
29.11.2004;Линолеум IVC Wonderwood Vita 44 3 м, кв.м;Напольные покрытия;2779,2;5
06.12.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;8331,1;90
06.12.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;511209,83;5498
06.12.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;13972,64;139
06.12.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;183,36;1
06.12.2004;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;11888,64;24
06.12.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;10540,7;15
06.12.2004;Линолеум IVC Victory Apollo 45 3 м, кв.м;Напольные покрытия;16130,16;30
13.12.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;3536,62;38
13.12.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;384354,95;4123
13.12.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;23220,52;232
13.12.2004;Ламинат NEW WAY 8.3х197х1218  7128 Тик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;2442,16;6
13.12.2004;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;67348,84;132
13.12.2004;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;11888,64;24
13.12.2004;Линолеум IVC San-Francisco 527 4м, кв.м;Напольные покрытия;8709,12;24
13.12.2004;Линолеум IVC Victory Apollo 45 3 м, кв.м;Напольные покрытия;60316,4;120
13.12.2004;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;21087,64;42
13.12.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;89923,2;145
13.12.2004;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;86071,45;134
13.12.2004;Линолеум IVC Wonderwood Jakarta 845 4 м, кв.м;Напольные покрытия;15131,26;24
13.12.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;18604,8;30
20.12.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;50222,31;577
20.12.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;60899,22;695
20.12.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;229801,86;2300
20.12.2004;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;47,52;1
20.12.2004;Ламинат NEW WAY 8.3х197х1218  2820 Дуб классик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;23,76;1
20.12.2004;Ламинат NEW WAY 8.3х197х1218  6335 Орех, 8шт/1.92кв.м./уп, шт;Напольные покрытия;23,76;1
20.12.2004;Ламинат NEW WAY 8.3х197х1218  6927 Вишня темная, 8шт/1.92кв.м./уп, шт;Напольные покрытия;22301,97;54
20.12.2004;Ламинат NEW WAY 8.3х197х1218  7128 Тик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;23,76;1
20.12.2004;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;17118,72;25
20.12.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;78,72;1
20.12.2004;Линолеум IVC Avanti Tango 996, кв.м;Напольные покрытия;89,04;1
20.12.2004;Линолеум IVC Avanti Tango 997, кв.м;Напольные покрытия;89,04;1
20.12.2004;Линолеум IVC Dynamite Bamboo 035 3м, кв.м;Напольные покрытия;31,44;1
20.12.2004;Линолеум IVC Dynamite Bamboo 035 4м, кв.м;Напольные покрытия;31,44;1
20.12.2004;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;62,64;1
20.12.2004;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;62,64;1
20.12.2004;Линолеум IVC Dynamite Cannes 048 2.5м, кв.м;Напольные покрытия;62,64;1
20.12.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;47,52;1
20.12.2004;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;78,72;1
20.12.2004;Линолеум IVC Victory Apollo 17 3 м, кв.м;Напольные покрытия;89,04;1
20.12.2004;Линолеум IVC Victory Apollo 17 4 м, кв.м;Напольные покрытия;62,64;1
20.12.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;7116,31;10
20.12.2004;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;62,64;1
20.12.2004;Линолеум IVC Victory Apollo 91 3 м, кв.м;Напольные покрытия;62,64;1
20.12.2004;Линолеум IVC Viktory Apollo 77 4м, кв.м;Напольные покрытия;23,76;1
20.12.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;78,72;1
20.12.2004;Линолеум IVC Wonderwood Champagne 45 4 м, кв.м;Напольные покрытия;78,72;1
20.12.2004;Линолеум IVC Wonderwood Jakarta 47 3 м, кв.м;Напольные покрытия;47,52;1
20.12.2004;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;3486,72;5
20.12.2004;Линолеум IVC Wonderwood Jakarta 843 3 м, кв.м;Напольные покрытия;47,52;1
20.12.2004;Линолеум IVC Wonderwood Jakarta 843 4 м, кв.м;Напольные покрытия;34240,86;50
20.12.2004;Линолеум IVC Wonderwood Jakarta 845 4 м, кв.м;Напольные покрытия;39,36;1
20.12.2004;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;78,72;1
20.12.2004;Линолеум IVC Wonderwood Vita 44 3 м, кв.м;Напольные покрытия;78,72;1
03.01.2005;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;43330,65;473
03.01.2005;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;53653,89;568
03.01.2005;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;344388,54;3432
03.01.2005;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;23,76;1
03.01.2005;Ламинат NEW WAY 8.3х197х1218  6335 Орех, 8шт/1.92кв.м./уп, шт;Напольные покрытия;23,76;1
03.01.2005;Ламинат NEW WAY 8.3х197х1218  6927 Вишня темная, 8шт/1.92кв.м./уп, шт;Напольные покрытия;23,76;1
03.01.2005;Ламинат NEW WAY 8.3х197х1218  7128 Тик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;10652,11;15
03.01.2005;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;39,36;1
03.01.2005;Линолеум IVC Avanti Tango 996, кв.м;Напольные покрытия;44,4;1
03.01.2005;Линолеум IVC Avanti Tango 997, кв.м;Напольные покрытия;44,4;1
03.01.2005;Линолеум IVC Dynamite Bamboo 035 3м, кв.м;Напольные покрытия;31,44;1
03.01.2005;Линолеум IVC Dynamite Bamboo 035 4м, кв.м;Напольные покрытия;31,44;1
03.01.2005;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;62,64;1
03.01.2005;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;31,44;1
03.01.2005;Линолеум IVC San-Francisco 527 4м, кв.м;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC San-Francisco 535 3м, кв.м;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;28335,36;45
03.01.2005;Линолеум IVC Victory Apollo 17 3 м, кв.м;Напольные покрытия;44,4;1
03.01.2005;Линолеум IVC Victory Apollo 17 4 м, кв.м;Напольные покрытия;7095,12;13
03.01.2005;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;44,4;1
03.01.2005;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;35860,87;66
03.01.2005;Линолеум IVC Victory Apollo 91 3 м, кв.м;Напольные покрытия;31,44;1
03.01.2005;Линолеум IVC Viktory Apollo 77 4м, кв.м;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;39,36;1
03.01.2005;Линолеум IVC Wonderwood Champagne 45 4 м, кв.м;Напольные покрытия;51159,36;75
03.01.2005;Линолеум IVC Wonderwood Jakarta 47 3 м, кв.м;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;39,36;1
03.01.2005;Линолеум IVC Wonderwood Jakarta 843 3 м, кв.м;Напольные покрытия;23,76;1
03.01.2005;Линолеум IVC Wonderwood Jakarta 843 4 м, кв.м;Напольные покрытия;39,36;1
03.01.2005;Линолеум IVC Wonderwood Jakarta 845 4 м, кв.м;Напольные покрытия;39,36;1
03.01.2005;Линолеум IVC Wonderwood Marsetlle 45 4 м, кв.м;Напольные покрытия;39,36;1
03.01.2005;Линолеум IVC Wonderwood Vita 44 3 м, кв.м;Напольные покрытия;18744;28
10.01.2005;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;10234,23;112
10.01.2005;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;361386;4021
10.01.2005;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;448435,41;4487
10.01.2005;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;166,08;1
10.01.2005;Ламинат ELESGO Imperial 7х185х1184 клен зеленый, кв.м;Напольные покрытия;15120;52
